"","id_sampl","FID","strata_id","psu_id","population","ADM3_FR","ADM3_PCODE","ADM3_REF","ADM3ALT1FR","ADM3ALT2FR","ADM2_FR","ADM2_PCODE","ADM1_FR","ADM1_PCODE","SumDist","proba","survey_buffer","POINT_X","POINT_Y","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_featureNam","NEAR_pcode","Exclude","Include","Check Exclure","Visité (Oui/NON)","Jour visité","enquêtes faites","manque Enquètes?","Equipe","Responsable","Date enquête"
"455","id_27843",27842,"BF51","UP-328",128.520897214,"Doulougou","BF510101",NA,"NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000271741202710552,4,-1.44294175381,11.9952514546,"3364","6.4047734665099998E-3","-1.441111","12.001389","Kalkiende","BF5101010032",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"456","id_21603",21602,"BF51","VV-359",284.363788651,"Nobéré","BF510307","Nobere","NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.000601251310957503,4,-1.22388200345,11.7502076812999,"2766","9.4532781242800002E-3","-1.233333","11.75","Kanbo","BF5103070031",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"457","id_48369",48368,"BF50","OK-230",96.0483137669,"Godyr","BF500203",NA,"NA","NA","Sanguié","BF5002","Centre-Ouest","BF50",1015876.87494771,9.45471997005974e-05,4,-2.54508612253,12.765953646,"6502","1.8060679271699999E-2","-2.5499999999999998","12.783333000000001","Kontige","BF5002030010",NA,NA,"AU CHOIX CT",NA,NA,NA,-4,7,"Alberto",NA
"458","id_18605",18604,"BF50","TF-376",37.2709716441,"Sapouy","BF500406",NA,"NA","NA","Ziro","BF5004","Centre-Ouest","BF50",1015876.87494771,3.6688473340845e-05,4,-1.68938397324,11.6158288372,"2527","1.7613717669700001E-2","-1.6797219999999999","11.630556","Ledigue","BF5004060038",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"459","id_9754",9753,"BF50","OP-431",146.006564946,"Niabouri","BF500305",NA,"NA","NA","Sissili","BF5003","Centre-Ouest","BF50",1015876.87494771,0.000143724666390812,4,-2.51085803652,11.1810737551,"1829","6.2328359528400004E-3","-2.516667","11.1833329999999","Linse","BF5003020021",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"460","id_9791",9790,"BF51","XC-431",118.821795793,"Po","BF510202",NA,"NA","NA","Nahouri","BF5102","Centre-Sud","BF51",472953.295017596,0.000251233677922847,4,-0.997976636363,11.1771214362,"1753","2.7196806839200002E-2","-1","11.15","Louabouga","BF5102020018",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"461","id_19511",19510,"BF51","WS-370",2777.43412497,"Manga","BF510306",NA,"NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.00587253361849751,4,-1.06643280838,11.6593043451,"2588","7.9002495865799997E-3","-1.073056","11.663611","Manga","BF5103060012",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"462","id_12787",12786,"BF51","YV-411",355.777040192,"Gomboussougou","BF510304",NA,"NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.00075224561059198,4,-0.689923862546,11.339166512,"2128","2.05317405819E-2","-0.69916699999999998","11.3575","Medega","BF5103040004",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"463","id_13332",13331,"BF51","YT-408",951.083586067,"Gomboussougou","BF510304",NA,"NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.00201094610416366,4,-0.703615096909,11.3628804257,"2128","6.9810133026000001E-3","-0.69916699999999998","11.3575","Medega","BF5103040004",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"464","id_28628",28627,"BF51","TQ-324",157.264961024,"Saponé","BF510106","Sapone","NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000332516894756276,4,-1.6140821839,12.0229176867,"3449","2.6179685690999998E-3","-1.6166670000000001","12.0233329999999","Nabitenga","BF5101060028",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"465","id_23163",23162,"BF51","VB-352",286.374204637,"Toécé","BF510107","Toece","NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000605502081609022,4,-1.36079434748,11.8055401457,"2865","8.0734912865700007E-3","-1.3666670000000001","11.8","Naniesse","BF5101070019",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"466","id_29678",29677,"BF51","TR-319",281.766388502,"Saponé","BF510106","Sapone","NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000595759436439738,4,-1.60723656646,12.0663931951,"3637","3.1208043861000001E-3","-1.604444","12.065","Ouidi","BF5101060082",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"467","id_60882",60881,"BF5403","PS-108",678.975057447,"Barga","BF540301",NA,"NA","NA","Yatenga","BF5403","Nord","BF54",480120.495738996,0.00141417636504338,4,-2.31233513741,13.7303194652999,"9323","7.4395327406900002E-3","-2.318514","13.726176000000001","Lembonoro","BF5403060024",NA,NA,NA,"oui",2020-07-21,4,0,3,"Robin",2020-07-24
"468","id_57010",57009,"BF4901","SV-166",32.1195358649,"Tikaré","BF490108","Tikare","NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.000151299908055479,4,-1.75784014486,13.275802788,"8223","1.2964115295699999E-2","-1.7707930000000001","13.276343000000001","Lengou","BF5403090017",NA,NA,NA,"oui",2020-07-22,4,0,2,"Robin",NA
"469","id_20379",20378,"BF48","ZO-365",481.466554241,"Garango","BF480107",NA,"NA","NA","Boulgou","BF4801","Centre-Est","BF48",868756.828704596,0.000554201749365142,4,-0.559857135948,11.6988275351,"2681","9.9266209320000003E-3","-0.55000000000000004","11.6999999999999","Lergo","BF4801070003",NA,NA,NA,"oui",2020-07-17,4,0,8,"Robin",2020-07-16
"470","id_26744",26743,"BF51","UV-334",69.0251292029,"Kombissiri","BF510105",NA,"NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000145944916612394,4,-1.40186805092,11.9478236268,"3233","2.8681378493899999E-3","-1.4","11.9499999999999","Piedogo","BF5101050029",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"471","id_56897",56896,"BF5404","QG-167",779.107651617,"Bassi","BF540401",NA,"NA","NA","Zondoma","BF5404","Nord","BF54",170860.082456648,0.00455991616306684,4,-2.21649649677,13.2639458307,"8194","1.49059186773E-2","-2.2024949999999999","13.269059","Linteba","BF5404010003",NA,NA,NA,"oui",2020-07-20,4,0,3,"Robin",2020-07-23
"472","id_57098",57097,"BF5404","QI-165",276.139420826,"Bassi","BF540401",NA,"NA","NA","Zondoma","BF5404","Nord","BF54",170860.082456648,0.00161617281728788,4,-2.20280526245,13.279755107,"8194","1.07006059648E-2","-2.2024949999999999","13.269059","Linteba","BF5404010003",NA,NA,NA,"oui",2020-07-20,4,0,3,"Robin",2020-07-23
"473","id_57395",57394,"BF4901","UC-162",1461.65359801,"Kongoussi","BF490103",NA,"NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.00688515724255971,8,-1.53193477752,13.3034690207,"8299","2.38591520415E-3","-1.5342549999999999","13.302913","Lioudougou","BF4901030015",NA,NA,NA,"oui",2020-07-23,8,0,2,"Robin",2020-07-27
"474","id_9396",9395,"BF51","WH-433",2054.91811547,"Po","BF510202",NA,"NA","NA","Nahouri","BF5102","Centre-Sud","BF51",472953.295017596,0.0043448647828821,4,-1.14173459757,11.1652644793999,"1804","5.5256079441899997E-3","-1.145","11.169722","Po","BF5102020020",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
