list_name,name,label,info_admin3,info_admin2,info_admin1,info_base
oui_non,oui,Oui,NA,NA,NA,NA
oui_non,non,Non,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
oui_non_na,oui,Oui,NA,NA,NA,NA
oui_non_na,non,Non,NA,NA,NA,NA
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
modalite,direct,Face à face,NA,NA,NA,NA
modalite,telephone,Telephone,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
situation_matrimoniale,marie_monogame,Marié - Monogame,NA,NA,NA,NA
situation_matrimoniale,marie_polygame,Marié - Polygame,NA,NA,NA,NA
situation_matrimoniale,marie_veuf,Veuf/veuve,NA,NA,NA,NA
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",NA,NA,NA,NA
situation_matrimoniale,celibataire,Celibataire,NA,NA,NA,NA
situation_matrimoniale,divorce,Divorcé/e,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
chef_profession,agriculteur,Agriculteur,NA,NA,NA,NA
liste_etat_abri,bonne_etat,"Bon état - porte, fenêtre et toit en bon état",NA,NA,NA,NA
liste_etat_abri,endommage,Endommagé - pas de portes ou fenêtre mais présence de toit,NA,NA,NA,NA
liste_etat_abri,degat,"Dégâts lourd - plus de portes, fenêtre et toit",NA,NA,NA,NA
liste_etat_abri,detruit,Complètement détruit,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_probleme_abri,isolation,Problèmes d'isolation faisant en sorte que les membres du ménage ont froid,NA,NA,NA,NA
liste_probleme_abri,fuite_eau_leger,Fuites d'eau lors de pluies légères,NA,NA,NA,NA
liste_probleme_abri,fuite_eau_forte,Fuites d'eau lors de pluies fortes seulement,NA,NA,NA,NA
liste_probleme_abri,ventilation,Problèmes de ventilation dû à un espace restreint,NA,NA,NA,NA
liste_probleme_abri,debris,Débris ou ordures visibles autour de la maison (pouvant être retirées),NA,NA,NA,NA
liste_probleme_abri,debris_ordures,Débris ou ordures visibles autour de la maison (ne pouvant pas être retirées),NA,NA,NA,NA
liste_probleme_abri,inondation,Problèmes structurels liés à des inondations,NA,NA,NA,NA
liste_probleme_abri,aucun,Aucun problème,NA,NA,NA,NA
