list_name,name,label,info_base,info_admin1,info_admin2,info_admin3
oui_non,oui,Oui,,,,
oui_non,non,Non,,,,
oui_non_na,oui,Oui,,,,
oui_non_na,non,Non,,,,
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),,,,
modalite,direct,Face à face,,,,
modalite,telephone,Telephone,,,,
situation_matrimoniale,marie_monogame,Marié - Monogame,,,,
situation_matrimoniale,marie_polygame,Marié - Polygame,,,,
situation_matrimoniale,marie_veuf,Veuf/veuve,,,,
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",,,,
situation_matrimoniale,celibataire,Celibataire,,,,
situation_matrimoniale,divorce,Divorcé/e,,,,
chef_profession,agriculteur,Agriculteur,,,,
chef_profession,eleveur,Eleveur,,,,
chef_profession,pecheur_chasseur,Pêcheur / chasseur,,,,
chef_profession,fonctionnaire,Fonctionnaire (sauf professeur),,,,
chef_profession,professeur,Professeur / maître d'école,,,,
chef_profession,etudiant,Etudiant/Elève,,,,
chef_profession,chef,Chef communautaire,,,,
chef_profession,prive,Travailleur du secteur privé,,,,
chef_profession,commercant,Commerçant,,,,
chef_profession,transporteur,Transporteur,,,,
liste_logement,paille,En paille,,,,
liste_situation,occupation,Occupation (Sans accord du propriétaire),,,,
liste_situation,pret,Logement prêtée,,,,
liste_situation,famille_accueil,Famille d'accueil (logement partagé),,,,
liste_situation,location,Location,,,,
liste_situation,proprietaire,Propriétaire,,,,
liste_etat_abri,bonne_etat,"Bon état - porte, fenêtre et toit en bon état",,,,
liste_etat_abri,endommage,Endommagé - pas de portes ou fenêtre mais présence de toit,,,,
liste_etat_abri,degat,"Dégâts lourd - plus de portes, fenêtre et toit",,,,
liste_etat_abri,detruit,Complètement détruit,,,,
liste_probleme_abri,isolation,Problèmes d'isolation faisant en sorte que les membres du ménage ont froid,,,,
liste_probleme_abri,fuite_eau_leger,Fuites d'eau lors de pluies légères,,,,
liste_probleme_abri,fuite_eau_forte,Fuites d'eau lors de pluies fortes seulement,,,,
liste_probleme_abri,ventilation,Problèmes de ventilation dû à un espace restreint,,,,
liste_probleme_abri,debris,Débris ou ordures visibles autour de la maison (pouvant être retirées),,,,
liste_probleme_abri,debris_ordures,Débris ou ordures visibles autour de la maison (ne pouvant pas être retirées),,,,
liste_probleme_abri,debris_ordures,Problèmes structurels liés à des inondations,,,,
